store_id,商家名稱,地址,營業電話,營業時間,網址,描述,類別,官方類別_自動,自訂類別,is_active,,,,,,,,,,,,,,id
43,社團法人中華民國國際運動舞蹈發展協會,106 臺北市大安區忠孝東路四段176號12樓,287732658,10:00~17:00,https://www.tisdda.org/,">> 藉由舉辦 "" 2/28 國標舞亞巡賽-臺北公開賽"" 讓世界看見台灣 >> 協會向上發展舉辦大型國際賽會 - 2/28 國標舞亞巡賽-臺北公開賽，透過賽會讓臺灣選手及觀眾不用出國就能觀賞到來自世界30多個國家，100多對的世界好手，甚至可以同台競技，藉此促進臺灣國標舞壇與國際舞台接軌，進而提升臺灣選手國際能見度，並拓展選手與觀眾的國際視野。 >> 協會向下紮根舉辦台灣AL業餘巡迴積分賽，提供高額獎金及年度積分獎金(或機票)給予年輕選手實質幫助，同時定期舉辦國內外名師講習與個別指導，提升選手的競爭力，讓年輕選手們可以往更高的境界前進。 >> 提升臺灣民眾學習國標舞的普及率，推廣民眾欣賞風氣，讓全民都能感受國標舞的熱力四射、健康之美，使國標舞成為全民運動。 動滋券適用品項：",,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
44,萬華運動中心,108 臺北市萬華區福星里西寧南路６-１號Ａ棟,223759900,0600-2200,http://whsc.com.tw/,"中心設備規劃在游泳池部分設有溫水游泳池、水療池、三溫暖設施，市民活動空間設有民眾閱覽室及兒童遊戲室，提供老少咸宜的休閒場所，運動項目部分設有健身中心、舞蹈教室、多功能球場、桌球練習場、攀岩場及高爾夫球練習區，高爾夫球設備引進新型模擬設備，提供市民新穎的運動設施，戶外多功能運動場可提供多元化運動項目的複合式場所，營造出一個結合環保節能及多元化運動項目的優質休閒環境。 中心規劃一系列運動課程、公益講座、研習課程、回饋活動等，提供多元化的服務，在運動場域結合駐場專業教練，提供民眾各項運動設施專業的諮詢，給予市民最直接的回饋，讓市民藉由運動休閒，進而改善體能並豐富生活內涵，提升生活品質及促進身心靈健康。 未來萬華運動中心將配合地方體育發展及培訓專業運動人才，並推廣運動休閒文化，結合社區發展，打造健康城市，致力達成民眾處處皆可運動、時時皆可運動，進而提升人人喜愛運動三大目標，將運動推手這項榮譽身分發揮至最大。 動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,球類_羽球,球類_桌球,球類_足球,球類_高爾夫,格鬥類_柔道/空手道/跆拳道/拳擊/國術/武術,目標類_飛鏢,水域運動_游泳,戶外運動類_攀岩","運動場館-瑜珈,運動場館-綜合運動中心,球類_羽球,球類_桌球,球類_足球,球類_高爾夫,格鬥類_柔道/空手道/跆拳道/拳擊/國術/武術,目標類_飛鏢,水域運動_游泳,戶外運動類_攀岩",運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
45,Curves可爾姿民生圓環店,105 臺北市松山區富錦里富錦街505號,227666866,14:30–20:30,https://www.curves.com.tw/,"Curves 是專為女性設計的 30 分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式, 透過有氧+肌力+伸展三合一的完整訓練, 在女性教練的陪伴之下,輕鬆養成運動習慣, 讓妳更健康、更自信、更快樂 ,是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 02-27666866 *請提前主動告知使用動滋劵, 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
46,Curves可爾姿信義通化店,106 臺北市大安區 敦煌里信義路４段２６３號３樓之１,227043470,請見官網上公告之營業時間,https://www.curves.com.tw/,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式， 透過有氧+肌力+伸展三合一的完整訓練， 在女性教練的陪伴之下，輕鬆養成運動習慣， 讓妳更健康、更自信、更快樂 ，是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (分店電話) *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
47,LAVA台灣鐵人三項公司,110 臺北市信義區東興路51號5樓,227516226,早上9:00-18:00,https://www.ironmanstoretw.com/,,,其他,其他,,,,,,,,,,,,,,,
48,Coffit健身咖,111 臺北市士林區中山北路六段184號一樓,963023192,鴻泊健身有限公司,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,運動保健業,場館/課程,,,,,,,,,,,,,,,
49,Curves可爾姿大安店,106 臺北市大安區信義路三段192號2樓,227000213,請見官網公告營業時間,https://www.curves.com.tw,"Curves是專為女性設計的30分鐘環狀運動。 我們提供給女性簡單、快速又有效的運動方式, 透過有氧+肌力+伸展三合一的完整訓練, 在女性教練的陪伴之下,輕鬆養成運動習慣, 讓妳更健康、更自信、更快樂 ,是妳開始運動的第一選擇。 *免費預約體驗 https://www.curves.com.tw/ *免費預約專線 (分店電話) *請提前主動告知使用""政付優惠券"", 店家保留最終活動抵扣服務、商品之解釋權利。 動滋券適用品項：運動場館-健身",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
50,P. LEAGUE+SHOP,110 臺北市信義區菸廠路88號5樓之2,266388008,1030-1830,http://pleagueofficial.com/shop,,,其他,其他,,,,,,,,,,,,,,,
51,獨木舟日常,112 臺北市北投區洲美街32-8號,915137829,上午9:15~下午5:30,https://inline.app/booking/-MZHzmW2a2WjYalK4g0W:inline-live-2/-MZHzmgP54_O07iYZNja,我們是一間做專業獨木舟教育的公司，希望透過台灣的輕艇選手來教導一般市民正確的水上運動知識，並讓相關的水域法規能被民眾認識，讓台灣的水上運動能夠在專業、合法、安全的環境下進行。 動滋券適用品項：水域運動_立槳/獨木舟,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
52,社團法人台灣創新棒球協會,114 臺北市內湖區民權東路六段58號2樓,227944000,09:00-18:00,http://innobaseball.org.tw,協會宗旨： 改善台灣棒球困境，目前台灣棒球界科班/非科班界限過於明顯，中華職棒選秀要求必須是現役或曾是業餘甲組成棒球員才能報名。若不是國小國中階段即加入體育班，則無法打職棒。業餘社會人球隊要求高中/大學必須是體育班才有資格加入。以上種種造成的影響：我國職棒人才庫稀薄，導致國際賽屢戰屢敗,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
